[both-modes] spawning two parallel runs:
   base     → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260531-194745_base
   enriched → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260531-194745_enriched  (model dir: C:\Users\ethan\coding_projects\pytrilogy_two\tests\modeling\tpc_ds_duckdb)
[enriched] [1/5] Building TPC-DS DuckDB (sf=1) ...
[enriched] [2/5] Seeding raw/ from enriched model dir C:\Users\ethan\coding_projects\pytrilogy_two\tests\modeling\tpc_ds_duckdb ...
[enriched] [3/5] Running agent per query (4 queries, fresh context each, concurrency=4) — deepseek/deepseek-chat ...
[enriched]   [q67] starting (worker _worker_3)
[enriched]   [q77] starting (worker _worker_1)
[enriched]   [q70] starting (worker _worker_2)
[enriched]   [q80] starting (worker _worker_0)
[base] [1/5] Building TPC-DS DuckDB (sf=1) ...
[base] [2/5] Pre-ingesting model with `trilogy ingest --all` ...
[base] [3/5] Running agent per query (4 queries, fresh context each, concurrency=4) — deepseek/deepseek-chat ...
[base]   [q67] starting (worker _worker_3)
[base]   [q70] starting (worker _worker_2)
[base]   [q77] starting (worker _worker_1)
[base]   [q80] starting (worker _worker_0)
[enriched]   [q67] done in 52s (exit 0, score=fail)
[base]   [q67] done in 38s (exit 0, score=fail)
[enriched]   [q80] done in 109s (exit 0, score=fail)
[enriched]   [q70] done in 317s (exit 2, score=exhausted)
[base]   [q70] done in 365s (exit 2, score=exhausted)
[enriched]   [q77] done in 385s (exit 2, score=exhausted)
[enriched] [4/5] Finalising scores for 4 queries ...
[enriched]   spliced 94 prior results from 20260531-185714_enriched
[enriched]   wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched.png  (50 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[enriched] [5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260531-194745_enriched
[enriched] 
[enriched] # TPC-DS Agent Eval — 20260531-194745
[enriched] 
[enriched] - Model: `deepseek/deepseek-chat`
[enriched] - Scale factor: 1  |  Queries: 98  |  Trilogy: 0.3.275
[enriched] 
[enriched] ## Result
[enriched] 
[enriched] - **Pass rate: 35/98** (36%)
[enriched] - Status breakdown: {'pass': 35, 'fail': 57, 'exhausted': 4, 'timeout': 2}
[enriched] - Wall time: 387.1s  |  Agent time: 863.3s  |  Avg/query: 215.8s
[enriched] - Agent exit code: 1
[enriched] 
[enriched] ## Agent harness metrics
[enriched] 
[enriched] - LLM iterations: 187
[enriched] - Tool calls: 205  →  {'trilogy': 194, 'list_files': 4, 'return_control_to_user': 4, 'todo': 3}
[enriched] - `trilogy` subcommands: {'agent-info': 4, 'explore': 28, 'file': 94, 'run': 60, 'database': 3}
[enriched] - Tool success rate: 76% (155/205 ok)
[enriched] - Tokens: 10866470 total (10805540 prompt + 60930 completion)
[enriched] 
[enriched] ## Tool-output sizes
[enriched] 
[enriched] | Tool | calls | avg chars | max chars | truncated | trunc-rate |
[enriched] |---|---:|---:|---:|---:|---:|
[enriched] | `trilogy` | 194 | 2725 | 30065 | 12 | 6% |
[enriched] | `list_files` | 4 | 5611 | 5697 | 0 | 0% |
[enriched] | `return_control_to_user` | 4 | 26 | 26 | 0 | 0% |
[enriched] | `todo` | 3 | 181 | 198 | 0 | 0% |
[enriched] 
[enriched] - Repeated calls (same args seen earlier in same query): {'trilogy': 58} — total 58
[enriched] 
[enriched] ## Per-query
[enriched] 
[enriched] | Query | Status | Ref rows | Cand rows | SQL len | Detail |
[enriched] |------:|:-------|---------:|----------:|--------:|:-------|
[enriched] | 01 | pass | 100 | 100 | 2052 |  |
[enriched] | 02 | fail | 53 | 53 | 5190 | result set differs from reference |
[enriched] | 03 | pass | 89 | 89 | 894 |  |
[enriched] | 04 | pass | 6 | 6 | 8338 |  |
[enriched] | 05 | fail | 100 | 100 | 5569 | result set differs from reference |
[enriched] | 06 | fail | 46 | 45 | 2246 | result set differs from reference |
[enriched] | 07 | pass | 100 | 100 | 1322 |  |
[enriched] | 08 | exhausted | 0 | 0 | 0 | agent exhausted iterations (was: error) — generate_sql: InvalidSyntaxException:  |
[enriched] | 09 | fail | 1 | 1 | 4444 | result set differs from reference |
[enriched] | 10 | fail | 6 | 34 | 5658 | result set differs from reference |
[enriched] | 11 | pass | 90 | 90 | 3386 |  |
[enriched] | 12 | fail | 100 | 100 | 2756 | result set differs from reference |
[enriched] | 13 | fail | 1 | 1 | 3192 | result set differs from reference |
[enriched] | 14 | fail | 100 | 100 | 6375 | result set differs from reference |
[enriched] | 15 | pass | 100 | 100 | 1284 |  |
[enriched] | 16 | pass | 1 | 1 | 4631 |  |
[enriched] | 17 | fail | 0 | 5 | 6723 | result set differs from reference |
[enriched] | 18 | fail | 100 | 100 | 4249 | result set differs from reference |
[enriched] | 19 | pass | 100 | 100 | 1693 |  |
[enriched] | 20 | fail | 100 | 100 | 3450 | result set differs from reference |
[enriched] | 21 | fail | 100 | 100 | 1361 | result set differs from reference |
[enriched] | 22 | pass | 100 | 100 | 1482 |  |
[enriched] | 23 | fail | 4 | 100 | 8492 | result set differs from reference |
[enriched] | 25 | pass | 1 | 1 | 5758 |  |
[enriched] | 26 | pass | 100 | 100 | 1667 |  |
[enriched] | 27 | fail | 100 | 100 | 2246 | result set differs from reference |
[enriched] | 28 | pass | 1 | 1 | 6072 |  |
[enriched] | 29 | fail | 1 | 1 | 5072 | result set differs from reference |
[enriched] | 30 | fail | 100 | 100 | 7112 | result set differs from reference |
[enriched] | 31 | pass | 44 | 44 | 7067 |  |
[enriched] | 32 | pass | 1 | 1 | 1608 |  |
[enriched] | 33 | pass | 100 | 100 | 3316 |  |
[enriched] | 34 | fail | 455 | 200 | 3670 | result set differs from reference |
[enriched] | 35 | fail | 100 | 100 | 10048 | result set differs from reference |
[enriched] | 36 | fail | 100 | 100 | 4098 | result set differs from reference |
[enriched] | 37 | pass | 1 | 1 | 2914 |  |
[enriched] | 38 | fail | 1 | 1 | 3014 | result set differs from reference |
